Folder,File,Spots1,Spots2,Spots3,Area,DMax,Dmin,Smax,Smin
S:\micro\asa\vid\smc\20200728_3PO_Screen\20200728_091910_390/,Plate001_Well2_Object3.tif_projection.tif,44,461,71,1872574,1859.1453,106.6261,2122,162
S:\micro\asa\vid\smc\20200728_3PO_Screen\20200728_091910_390/,Plate003_Well3_Object1.tif_projection.tif,435,2103,477,5959238,2157.6448,106.2463,2768,171
S:\micro\asa\vid\smc\20200728_3PO_Screen\20200728_091910_390/,Plate000_Well3_Object4.tif_projection.tif,928,5852,1309,9922213,1966.1007,106.6813,9480,132
S:\micro\asa\vid\smc\20200728_3PO_Screen\20200728_091910_390/,Plate001_Well1_Object4.tif_projection.tif,623,1509,680,2766816,1941.2518,107.2066,2178,155
S:\micro\asa\vid\smc\20200728_3PO_Screen\20200728_091910_390/,Plate000_Well1_Object0.tif_projection.tif,366,1432,399,3729458,1865.476,106.6934,2723,195
S:\micro\asa\vid\smc\20200728_3PO_Screen\20200728_091910_390/,Plate000_Well2_Object6.tif_projection.tif,630,2730,689,2491122,2008.4993,106.2877,2326,171
S:\micro\asa\vid\smc\20200728_3PO_Screen\20200728_091910_390/,Plate001_Well3_Object0.tif_projection.tif,690,3424,786,4031012,1687.3508,106.1212,2433,174
S:\micro\asa\vid\smc\20200728_3PO_Screen\20200728_091910_390/,Plate002_Well4_Object5.tif_projection.tif,589,3590,696,2877593,2769.2808,106.59,2731,141
S:\micro\asa\vid\smc\20200728_3PO_Screen\20200728_091910_390/,Plate003_Well2_Object4.tif_projection.tif,404,1867,432,2352923,2171.0645,105.6712,2424,145
S:\micro\asa\vid\smc\20200728_3PO_Screen\20200728_091910_390/,Plate000_Well1_Object4.tif_projection.tif,286,671,310,1728027,1714.6807,106.3889,2687,178
S:\micro\asa\vid\smc\20200728_3PO_Screen\20200728_091910_390/,Plate003_Well3_Object7.tif_projection.tif,445,2448,481,6574158,3065.582,105.7316,2758,143
S:\micro\asa\vid\smc\20200728_3PO_Screen\20200728_091910_390/,Plate002_Well2_Object4.tif_projection.tif,515,3403,634,3102964,2454.7214,106.8599,2805,166
S:\micro\asa\vid\smc\20200728_3PO_Screen\20200728_091910_390/,Plate000_Well3_Object3.tif_projection.tif,653,4205,832,6450806,1767.4038,106.1261,2333,144
S:\micro\asa\vid\smc\20200728_3PO_Screen\20200728_091910_390/,Plate000_Well3_Object1.tif_projection.tif,1527,6353,1731,12986621,2103.6604,106.5545,3475,126
S:\micro\asa\vid\smc\20200728_3PO_Screen\20200728_091910_390/,Plate003_Well3_Object0.tif_projection.tif,200,1412,223,2885344,2239.9429,106.8006,2552,157
S:\micro\asa\vid\smc\20200728_3PO_Screen\20200728_091910_390/,Plate003_Well3_Object8.tif_projection.tif,165,1115,203,2286263,2880.3464,106.0312,2498,153
S:\micro\asa\vid\smc\20200728_3PO_Screen\20200728_091910_390/,Plate002_Well2_Object7.tif_projection.tif,459,2667,528,4136388,1927.7086,105.7425,2142,136
S:\micro\asa\vid\smc\20200728_3PO_Screen\20200728_091910_390/,Plate001_Well3_Object2.tif_projection.tif,651,3004,703,2800477,1528.3149,106.7185,2370,166
S:\micro\asa\vid\smc\20200728_3PO_Screen\20200728_091910_390/,Plate003_Well1_Object1.tif_projection.tif,110,945,200,2916164,1788.007,106.5592,2448,207
S:\micro\asa\vid\smc\20200728_3PO_Screen\20200728_091910_390/,Plate000_Well3_Object2.tif_projection.tif,827,2841,904,6833714,1815.222,106.3874,4481,192
S:\micro\asa\vid\smc\20200728_3PO_Screen\20200728_091910_390/,Plate002_Well2_Object8.tif_projection.tif,620,2824,672,4031507,2845.7065,105.6667,2153,118
S:\micro\asa\vid\smc\20200728_3PO_Screen\20200728_091910_390/,Plate000_Well2_Object5.tif_projection.tif,657,2212,709,2576139,1892.5571,106.6583,2150,151
S:\micro\asa\vid\smc\20200728_3PO_Screen\20200728_091910_390/,Plate002_Well1_Object3.tif_projection.tif,910,4411,1020,4938301,6041.6138,106.5574,17214,140
S:\micro\asa\vid\smc\20200728_3PO_Screen\20200728_091910_390/,Plate000_Well2_Object4.tif_projection.tif,834,1553,816,3690471,2111.5085,106.3385,2021,131
